,precision,recall,f1-score,support
Business Analyst,0.8244897959183674,0.831275720164609,0.8278688524590164,243.0
CRM Specialist,0.8278688524590164,0.8211382113821138,0.8244897959183674,246.0
IT Admin,0.8089887640449438,0.8470588235294118,0.8275862068965517,255.0
Network Administrator,0.8681818181818182,0.8268398268398268,0.8470066518847007,231.0
Software Engineer,0.7928802588996764,0.8477508650519031,0.8193979933110368,289.0
System Developer,0.875,0.8166666666666667,0.8448275862068966,240.0
Technical Developer,0.8701298701298701,0.8375,0.8535031847133758,240.0
UX Designer,0.8269230769230769,0.83984375,0.8333333333333334,256.0
accuracy,0.834,0.834,0.834,0.834
macro avg,0.8368078045695961,0.8335092329543163,0.8347517005904098,2000.0
weighted avg,0.8352573821450124,0.834,0.834214189354267,2000.0
