Operating System Marks,Algorithms Marks,Software Engineering Marks,Computer Networks Marks,Electronics Marks,Computer Architecture Marks,Mathematics Marks,Coding Skill Rating,Communication Skill Rating,Public Speaking Skill,Memory Capacity,Logical Reasoning Score,Reading and Writing Skill,Number of Hackathons Attended,Certifications,Number of Internships Attended,Worked As a Team,Personality,Expected Hours of Work Per Day,Willingness to Work for Long Period,Preference: Job vs. Higher Studies,Type of Company Preferred,Interested Career Area,Self-Learning Ability,Interest Type,Predicted Career Options
40,96,50,43,94,67,55,4,4,4,Excellent,10,Excellent,8,Python,5,Yes,Extrovert,5,No,Higher Studies,Product-based,Developer,No,Technical,IT Admin
68,47,48,50,52,81,61,1,6,4,Medium,10,Poor,7,Java,1,No,Introvert,12,No,Higher Studies,Service-based,Developer,Yes,Technical,Network Administrator
45,40,46,95,52,66,52,6,8,10,Medium,8,Average,2,Java,1,Yes,Extrovert,8,No,Job,Service-based,Analyst,No,Technical,UX Designer
85,72,50,70,61,46,51,3,5,3,Poor,5,Poor,0,Java,1,Yes,Extrovert,4,No,Higher Studies,Service-based,Administrator,Yes,Technical,IT Admin
67,49,80,95,43,99,40,10,1,7,Poor,3,Medium,2,Java,0,Yes,Extrovert,7,No,Job,Service-based,Administrator,Yes,Technical,CRM Specialist
98,45,49,86,60,68,51,8,9,10,Excellent,9,Medium,1,Networking,0,No,Extrovert,9,Yes,Job,Service-based,Administrator,No,Management,UX Designer
71,41,68,49,100,85,70,1,5,9,Poor,1,Poor,4,Networking,3,Yes,Extrovert,5,Yes,Job,Product-based,Analyst,Yes,Technical,IT Admin
40,90,71,76,76,91,73,1,10,2,Poor,9,Poor,10,Java,0,Yes,Extrovert,8,Yes,Higher Studies,Service-based,Analyst,Yes,Management,Software Engineer
78,89,67,100,74,40,100,2,1,3,Poor,4,Medium,0,Java,3,Yes,Extrovert,11,No,Higher Studies,Service-based,UX Designer,Yes,Management,Software Engineer
58,60,58,52,90,98,62,9,4,9,Excellent,2,Medium,9,Networking,0,Yes,Extrovert,7,Yes,Job,Service-based,Research,Yes,Management,Technical Developer
97,50,77,63,42,43,44,6,3,10,Medium,6,Poor,7,Networking,2,No,Introvert,9,No,Job,Service-based,Developer,Yes,Management,Technical Developer
81,73,89,58,83,97,79,3,4,9,Poor,4,Average,7,Java,0,Yes,Introvert,5,Yes,Higher Studies,Service-based,UX Designer,No,Technical,CRM Specialist
97,48,88,45,53,63,82,10,4,5,Medium,4,Excellent,6,AI/ML,3,Yes,Extrovert,9,Yes,Higher Studies,Product-based,Analyst,No,Management,Network Administrator
70,75,66,62,68,52,89,1,8,1,Excellent,7,Average,1,AI/ML,5,No,Introvert,7,Yes,Job,Service-based,Analyst,Yes,Management,System Developer
72,90,83,60,49,94,96,4,3,3,Medium,8,Medium,5,Python,0,No,Introvert,8,No,Job,Service-based,Developer,Yes,Management,UX Designer
80,82,55,72,81,76,52,3,5,2,Excellent,7,Medium,7,Java,5,Yes,Introvert,6,Yes,Job,Service-based,Developer,No,Management,Software Engineer
76,50,55,51,53,45,49,7,8,6,Poor,2,Average,7,Networking,0,No,Extrovert,5,No,Higher Studies,Product-based,Administrator,Yes,Management,Network Administrator
70,97,66,63,95,45,79,1,4,4,Medium,10,Poor,5,None,5,Yes,Extrovert,5,No,Job,Product-based,Developer,Yes,Technical,CRM Specialist
87,70,45,95,88,91,73,4,2,8,Excellent,8,Medium,6,Python,1,No,Introvert,8,Yes,Higher Studies,Service-based,Analyst,No,Management,Business Analyst
41,66,41,64,69,61,44,1,5,7,Poor,6,Poor,2,None,2,Yes,Introvert,6,Yes,Higher Studies,Service-based,UX Designer,No,Management,Software Engineer
58,77,71,78,99,77,94,1,2,1,Medium,9,Poor,6,Java,1,Yes,Extrovert,7,Yes,Higher Studies,Service-based,Administrator,Yes,Management,UX Designer
81,70,82,59,59,83,44,6,10,4,Medium,4,Medium,7,Python,3,Yes,Introvert,10,No,Higher Studies,Product-based,Developer,No,Management,System Developer
72,99,87,91,93,77,43,10,4,1,Excellent,7,Average,1,AI/ML,3,No,Introvert,9,Yes,Higher Studies,Product-based,Research,Yes,Management,Technical Developer
84,73,56,81,95,74,63,1,9,7,Medium,5,Medium,3,AI/ML,4,No,Extrovert,4,No,Higher Studies,Product-based,Administrator,No,Technical,Software Engineer
95,50,51,80,51,48,95,6,10,6,Excellent,4,Medium,5,Python,0,No,Extrovert,8,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,UX Designer
69,84,48,85,78,72,45,9,8,6,Poor,2,Medium,2,Networking,5,No,Extrovert,7,No,Higher Studies,Product-based,Developer,Yes,Management,Software Engineer
100,75,65,81,43,96,43,3,7,6,Poor,10,Excellent,0,Java,4,Yes,Extrovert,12,Yes,Job,Service-based,Developer,No,Management,Technical Developer
48,87,47,78,50,70,52,7,9,1,Excellent,5,Poor,9,Data Science,0,Yes,Extrovert,8,No,Higher Studies,Service-based,UX Designer,No,Management,Network Administrator
83,100,88,53,48,93,54,1,9,6,Medium,2,Excellent,8,Data Science,3,Yes,Extrovert,5,Yes,Higher Studies,Service-based,Research,No,Technical,System Developer
88,70,74,61,46,57,56,8,6,5,Excellent,3,Average,8,Data Science,2,No,Extrovert,12,No,Job,Service-based,Administrator,No,Technical,Network Administrator
86,44,97,54,77,60,60,10,9,1,Medium,8,Average,0,Data Science,3,No,Extrovert,4,No,Higher Studies,Service-based,UX Designer,Yes,Management,Network Administrator
100,49,50,99,96,100,99,5,7,9,Excellent,1,Poor,7,Data Science,0,No,Extrovert,9,No,Job,Service-based,Developer,Yes,Technical,UX Designer
45,45,53,97,86,55,65,6,7,3,Poor,10,Excellent,8,None,1,Yes,Extrovert,9,Yes,Job,Service-based,Research,No,Management,Technical Developer
86,82,76,96,77,86,48,2,3,9,Poor,4,Excellent,4,Python,1,Yes,Introvert,12,No,Job,Product-based,UX Designer,No,Technical,System Developer
84,52,55,62,89,75,69,1,8,10,Medium,2,Excellent,9,AI/ML,0,No,Extrovert,11,Yes,Job,Product-based,Analyst,No,Management,System Developer
66,93,52,76,43,43,90,10,2,1,Medium,7,Medium,3,Python,3,No,Introvert,4,Yes,Job,Product-based,Developer,Yes,Technical,Technical Developer
90,58,60,61,42,94,51,8,7,7,Excellent,1,Medium,2,None,3,Yes,Extrovert,8,No,Job,Product-based,Developer,No,Technical,Business Analyst
45,42,43,42,46,77,51,10,5,4,Poor,7,Poor,2,AI/ML,1,No,Extrovert,8,Yes,Higher Studies,Service-based,Administrator,No,Technical,UX Designer
85,76,54,69,91,57,50,9,1,1,Medium,8,Average,4,Python,1,No,Introvert,11,No,Job,Product-based,Administrator,Yes,Technical,UX Designer
80,83,50,62,42,47,47,5,7,10,Excellent,10,Medium,3,Python,1,Yes,Introvert,9,Yes,Higher Studies,Service-based,Developer,Yes,Technical,System Developer
76,99,66,47,81,84,72,5,4,1,Poor,7,Medium,7,None,3,Yes,Extrovert,12,Yes,Job,Product-based,Research,No,Management,Network Administrator
73,86,66,50,48,65,88,10,2,4,Poor,10,Medium,6,None,3,Yes,Extrovert,12,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,UX Designer
84,44,42,50,56,80,83,1,2,2,Poor,2,Poor,1,Networking,1,Yes,Extrovert,12,No,Higher Studies,Product-based,UX Designer,No,Technical,Software Engineer
90,81,57,81,92,41,84,6,4,7,Excellent,1,Average,1,Networking,4,No,Introvert,6,Yes,Higher Studies,Product-based,Analyst,No,Management,IT Admin
47,88,57,91,96,91,78,7,7,5,Poor,8,Average,10,Data Science,0,Yes,Extrovert,12,No,Higher Studies,Product-based,Analyst,No,Management,CRM Specialist
97,57,87,53,97,61,90,2,8,5,Medium,5,Average,4,Java,5,Yes,Extrovert,9,Yes,Higher Studies,Product-based,Administrator,No,Management,Software Engineer
70,64,95,85,94,99,71,6,8,2,Excellent,10,Average,6,Java,5,Yes,Introvert,11,Yes,Higher Studies,Service-based,Research,Yes,Management,Technical Developer
69,56,100,83,85,66,97,9,3,1,Medium,7,Medium,1,Networking,3,No,Extrovert,4,Yes,Higher Studies,Product-based,Developer,No,Technical,Technical Developer
78,63,42,64,74,54,53,6,3,7,Medium,7,Medium,5,Data Science,4,Yes,Extrovert,12,Yes,Higher Studies,Service-based,UX Designer,Yes,Management,Technical Developer
51,44,90,97,50,94,46,4,1,10,Excellent,2,Poor,0,Java,3,Yes,Introvert,8,No,Higher Studies,Service-based,UX Designer,Yes,Management,IT Admin
66,59,60,85,52,92,50,3,3,6,Poor,2,Average,6,Java,1,Yes,Introvert,7,Yes,Job,Service-based,Research,No,Management,IT Admin
96,64,53,80,70,77,62,8,2,6,Excellent,4,Medium,5,Java,4,Yes,Extrovert,7,No,Higher Studies,Product-based,Research,Yes,Management,CRM Specialist
91,89,57,51,58,73,95,5,3,2,Medium,3,Poor,0,None,0,No,Introvert,9,No,Job,Product-based,Research,Yes,Management,Business Analyst
56,80,50,51,69,48,89,5,4,1,Medium,8,Average,5,AI/ML,1,No,Extrovert,6,No,Higher Studies,Service-based,Research,No,Management,UX Designer
51,71,41,89,78,57,93,10,3,1,Excellent,9,Average,1,Java,4,No,Extrovert,12,No,Job,Product-based,Research,Yes,Technical,System Developer
62,62,72,53,77,97,88,5,3,5,Poor,7,Average,4,Data Science,5,Yes,Introvert,11,Yes,Job,Product-based,UX Designer,Yes,Technical,Business Analyst
68,66,47,82,54,93,58,5,9,5,Medium,8,Average,6,None,1,No,Introvert,5,No,Higher Studies,Service-based,Analyst,Yes,Technical,System Developer
61,40,83,58,76,49,40,4,6,10,Poor,4,Poor,3,Java,4,No,Extrovert,4,Yes,Higher Studies,Service-based,Developer,No,Technical,CRM Specialist
59,77,89,86,54,97,46,1,1,4,Poor,6,Excellent,5,Data Science,4,Yes,Introvert,4,No,Job,Service-based,Analyst,No,Management,CRM Specialist
64,53,75,81,55,83,93,6,2,10,Excellent,2,Medium,9,Java,5,Yes,Extrovert,10,Yes,Job,Product-based,Administrator,No,Technical,Business Analyst
69,42,50,82,85,65,40,7,4,2,Excellent,1,Excellent,3,Data Science,3,Yes,Introvert,8,No,Higher Studies,Service-based,Administrator,Yes,Technical,UX Designer
74,70,69,87,93,76,44,3,7,9,Poor,3,Average,4,Java,1,No,Introvert,7,No,Higher Studies,Service-based,Research,Yes,Management,Network Administrator
53,49,76,77,51,70,66,9,7,5,Poor,6,Medium,3,Java,5,Yes,Introvert,4,Yes,Job,Service-based,Research,Yes,Management,Technical Developer
47,66,78,95,42,51,86,1,10,7,Excellent,6,Excellent,4,AI/ML,0,No,Extrovert,4,Yes,Higher Studies,Service-based,Administrator,Yes,Technical,System Developer
65,67,59,62,69,53,76,4,7,7,Excellent,1,Poor,4,AI/ML,1,No,Introvert,12,No,Higher Studies,Product-based,UX Designer,Yes,Technical,Business Analyst
